horizon	z	c	i	y	k	l	r	w	case
15	0.797156253648774	0.882700580933959	1.49688786861197	1.02851482908773	0.571977116667513	0.072907124076886	0.480253372726486	0.955607705010845	phi_10
16	0.785198909844043	0.883162759307287	1.46882798059559	1.02220558162753	0.594398388265715	0.0695214111601216	0.450228464960017	0.952684170467408	phi_10
17	0.773420926196382	0.883215304703827	1.44135375912396	1.01572299532156	0.615572272537171	0.0662538453088643	0.42132460705584	0.949469150012691	phi_10
18	0.761819612303436	0.882876196343167	1.41445157692141	1.00907754568908	0.635544255146777	0.0631006746729565	0.393505273151909	0.945976871016123	phi_10
19	0.750392318118885	0.882162795952754	1.38810815342824	1.00227931966996	0.654358352603813	0.0600582618586005	0.366735064523178	0.942221057811355	phi_10
20	0.739136433347101	0.881091867251682	1.36231054541789	0.99533802825517	0.672057157424165	0.0571230805017444	0.340979675651357	0.938214947753426	phi_10
21	0.728049386846895	0.879679594841826	1.33704613787762	0.988263018728021	0.688681881935502	0.0542917119430975	0.316205861303856	0.933971306784923	phi_10
22	0.717128646044191	0.877941602524059	1.31230263514532	0.981063286527668	0.704272400765747	0.0515608420018048	0.292381404592166	0.929502444525863	phi_10
23	0.706371716353529	0.875892971056716	1.28806805229515	0.973747486746415	0.718867292053982	0.0489272578448494	0.269475085980668	0.924820228901566	phi_10
24	0.695776140608226	0.87354825537302	1.26433070676459	0.966323945271739	0.732503877421747	0.0463878449493593	0.247456653217757	0.91993610032238	phi_10
25	0.685339498499102	0.870921501273625	1.24107921021638	0.958800669583774	0.745218260741613	0.0439395841550747	0.226296792162027	0.9148610854287	phi_10
26	0.675059406021616	0.868026261610011	1.21830246062824	0.951185359218654	0.757045365738779	0.0415795488043216	0.205967098477041	0.909605810414332	phi_10
27	0.664933514931291	0.864875611973961	1.1959896346041	0.943485415907735	0.768018972460412	0.0393049019668869	0.186440050168956	0.904180513940848	phi_10
28	0.654959512207322	0.861482165907912	1.17413017990041	0.935707953402533	0.778171752646412	0.0371128937473104	0.167688980942121	0.898595059655222	phi_10
29	0.645135119524212	0.857858089650527	1.15271380816131	0.927859806994813	0.787535304034284	0.0350008586721426	0.149688054348401	0.89285894832267	phi_10
30	0.635458092731349	0.854015116431426	1.13173048785678	0.919947542741043	0.796140183629846	0.0329662131548086	0.132412238706759	0.886981329586234	phi_10
31	0.625926221340379	0.849964560328568	1.11117043741798	0.911977466400154	0.80401593997455	0.0310064530357934	0.115837282770308	0.880971013364361	phi_10
32	0.616537328020273	0.84571732970142	1.09102411856394	0.903955632093241	0.811191144439284	0.0291191511959105	0.0999396921186912	0.87483648089733	phi_10
33	0.607289268099969	0.841283940212616	1.07128222981445	0.895887850693627	0.817693421573664	0.0273019552405057	0.0846967062543428	0.868585895453121	phi_10
34	0.598179929078469	0.836674527450453	1.05193570018353	0.887779697955429	0.82354947853891	0.0255525852524878	0.0700862763817652	0.862227112702941	phi_10
35	0.589207230142292	0.831898859164214	1.03297568304852	0.879636522388545	0.82878513365165	0.0238688316121653	0.0560870438496344	0.855767690776379	phi_10
36	0.580369121690158	0.826966347123923	1.01439355018962	0.871463452887722	0.8334253440651	0.0222485528818996	0.0426783192360715	0.849214900005822	phi_10
37	0.571663584864806	0.821886058615821	0.996180885995246	0.863265406123166	0.837494232613353	0.0206896737536727	0.0298400620580664	0.842575732369493	phi_10
38	0.563088631091833	0.816666727584503	0.978329481828153	0.855047093699902	0.841015113843723	0.0191901830576993	0.0175528610865487	0.835856910642203	phi_10
39	0.554642301625456	0.811316765432328	0.960831330548024	0.846813029092889	0.844010519261331	0.0177481318302805	0.00579791524916573	0.829064897262609	phi_10
40	0.546322667101074	0.805844271486403	0.943678621185944	0.838567534364711	0.846502221809446	0.016361631439154	-0.00544298489661954	0.822205902925557	phi_10
